mol_id,film_homo,avg_film_homo,toluene_homo,toluene_gap,dcm_homo,dcm_gap,dmso_homo,dmso_gap
Cl-BsubPc,5.76,-5.76,-3.66,2.1,,,,
Cl-Cl6BsubPc,-6.30,-6.27,-4.26,2.01,,,,
Cl-Cl12BsubPc,-6.3,-6.3,-4.36,1.94,,,,
F-BsubPc,-5.58,-5.58,-3.48,2.1,,,,
F-F6BsubPc,-6.30,-6.34,-4.24,2.1,,,,
F-F12BsubPc,-6.57,-6.59,-4.56,2.03,,,,
PhO-BsubPc,-5.46,-5.56,-3.42,2.14,-3.42,2.14,,
PhO-F12BsubPc,-6.61,-6.61,,,-4.49,2.12,,
F5-BsubPc,-5.86,-5.91,-3.77,2.14,-3.77,2.14,,
F5-Cl6BsubPc,-6.18,-6.18,,,-4.06,2.12,,
F5-F12BsubPc,-6.65,-6.65,,,-4.54,2.11,,
3-F1PhO-BsubPc,-5.68,-5.68,-3.54,2.14,,,,
"3,5-F2PhO-BsubPc",-5.69,-5.69,-3.55,2.14,,,,
"2,4,6-F3PhO-BsubPc",-5.54,-5.54,-3.40,2.14,,,,
"3,4,5-F3PhO-BsubPc",-5.76,-5.76,-3.62,2.14,,,,
"2,3,5,6-F4PhO-BsubPc",-5.76,-5.76,-3.62,2.14,,,,
"m,p-Me2PhO-BsubPc",-5.42,-5.42,,,-3.28,2.14,,
p-MeOPhO-BsubPc,-5.42,-5.42,,,-3.28,2.14,,
Cl2-SiPc,-5.7,-5.7,-3.93,1.77,,,,
"3,5-F2PhO-SiPc",-5.8,-5.8,-4.02,1.78,,,,
"2,4,6-F3PhO-SiPc",-5.4,-5.4,-3.62,1.78,,,,
"3,4,5- F3PhO-SiPc",-5.9,-5.9,-4.12,1.78,,,,
"2,3,5,6- F4PhO-SiPc",-5.7,-5.7,-3.93,1.77,,,,
F10-SiPc,-5.7,-5.7,-3.97,1.73,,,,
F-AlPc,-4.7,-4.7,,,,,-2.89,1.81
Cl-AlPc,-5.7,-5.7,-3.93,1.77,,,-3.92,1.78
Cl2-GePc,-5.8,-5.8,-4.04,1.76,,,,
